pickup_zone,count,mean_abs_error,median_abs_error,mean_error,rmse,p95_abs_error
40.75_-73.99,117,105.46242010946634,80.87691949670602,23.96956099118168,142.80746862891218,281.22099345300467
40.76_-73.97,119,87.94297904023975,66.2023164299892,18.26460161178323,120.89725146578195,250.86824626754907
40.76_-73.98,119,87.29556629509277,60.84638615096151,12.127822409377224,119.53121918605281,235.71176798715067
40.76_-73.99,120,74.40929742251576,61.094542304850336,19.343057536034117,96.69158960648595,195.75654161793665
40.75_-73.98,118,71.87801596226598,43.46124985024619,15.34941844879743,106.10918104039162,219.43024075409397
40.74_-73.99,117,66.5876682216951,52.104330957118805,18.722286239018104,92.91380474002443,187.10230326171109
40.77_-73.98,119,66.14817634689047,43.30426203114018,19.40273407257527,92.05875296979286,191.3353085084736
40.77_-73.96,119,57.65124215951556,35.733899761374175,17.407967248450046,83.0881786619075,171.85147796834394
40.77_-73.87,103,57.135208641980874,46.6838755991795,9.960210321454252,74.15332117999493,145.16051166168
40.73_-73.99,118,56.54548522860944,40.34434519986564,25.687751592992182,77.07300086822785,182.94540420305302
40.78_-73.98,116,55.34924508948777,42.90391000509125,13.361224463470496,73.56275524166058,146.48839334679866
40.74_-74.0,116,51.94001204361401,42.75285206901245,21.925226368495196,70.67996764315372,134.19231888530956
40.78_-73.96,119,51.052470339508815,27.02413520280345,12.55869247569666,75.60248749907977,165.89891834500915
40.78_-73.95,119,50.952953740828384,31.038506024786898,18.175081705561688,71.72005636966186,144.49403466995926
40.73_-74.0,118,48.75355755751796,39.91827530156888,18.943753786952808,67.04932330969893,140.29739740990047
40.75_-73.97,118,46.239765825210554,30.153291159898515,2.5421754317864247,63.30314369346191,128.4443188279236
40.74_-73.98,118,44.76145750804934,27.013202405040204,15.916393765895954,65.3950325987936,155.60678181869542
40.72_-73.99,119,39.98876426203351,29.264668579713714,9.030485006098926,57.43628304355287,113.62669561469542
40.77_-73.95,117,39.66620770218144,30.303776512190893,2.6695822108629033,57.85917070958116,105.82734128872106
40.77_-73.99,115,39.228141803458925,25.39730757843671,4.490396886568313,66.67445218010417,96.91384385082628
40.75_-74.0,116,37.34984416069045,29.767778869457146,6.633857094698725,51.59282537899457,85.21675904462182
40.73_-73.98,116,36.43474194077094,26.76781606484424,11.30195486364034,49.0039405658387,110.37921075593617
40.79_-73.97,116,35.632826823636435,25.46042286043172,8.966871428139852,48.72131559364665,94.69183916283058
40.77_-73.86,88,35.11501853524945,30.533563544835538,0.25714642529256,44.777904718632634,81.3516605272316
40.76_-73.96,117,34.08959309671614,22.87586923076924,4.514265441319865,47.53723264224078,94.75882235734808
40.72_-74.01,116,33.37855697883579,29.428937327987185,4.104998085092965,43.34217655712144,84.94488058781114
40.71_-74.01,114,33.35890145098781,29.26980106338216,6.988199384296874,41.63243551335066,69.28145460838955
40.74_-74.01,115,32.18414505822635,24.61589237617264,9.4505956764279,41.980703887163536,87.13058404099418
40.77_-73.97,115,32.09550757432935,22.272872220345846,5.13917167511096,44.91624767688375,85.76514317778896
40.72_-74.0,116,31.225768268277232,24.35685602245807,11.80145039808194,41.530056367322324,79.30803740755417
40.76_-74.0,114,25.706135751718378,21.215890994076364,6.687023610035157,33.20150678701543,68.83026426673705
40.73_-74.01,114,25.672874481852393,18.021754455611017,2.003531992266783,34.682848567471204,64.71762555159593
40.64_-73.78,112,25.525910906907853,22.123917876975298,-0.3697754800928372,31.44443516563543,52.88301737195185
40.65_-73.78,107,24.945621410848656,20.72883191415937,1.0555000630007598,31.099324170621824,61.903399563273624
40.65_-73.79,101,21.312577718763404,18.814824047347912,-0.4821030891570775,26.381936711916598,48.48505799721643
40.64_-73.79,97,20.572816151379385,16.093848006720748,0.039953937150463074,27.951628426027607,56.79462412644342
40.79_-73.98,114,20.5041213551374,17.054070841369864,2.23849517066163,26.418214110767043,53.906154520890276
40.8_-73.97,113,20.32107731000707,14.508350469785313,4.315337659996117,27.6916402837664,58.87475994242205
40.79_-73.95,116,18.111498571408873,10.846408975689329,1.302064586576902,25.64788602700413,47.150015820446974
40.78_-73.97,113,14.552295285576616,10.663093247023374,2.389054230168895,19.701680399361667,37.25128565872337
40.75_-74.01,110,13.644261352707408,10.457182690913985,2.0628216853974246,18.716631811045037,34.67114872656317
40.71_-74.02,114,13.495984964447999,9.745108724391248,0.7332257298558078,19.990642737147784,36.010880402710654
40.7_-74.01,114,12.899908573372139,10.486693331389294,-0.20511730941639067,17.407782999296916,35.62539712931891
40.74_-73.97,115,12.670733254429905,8.892313473692738,0.39457530306784133,17.36167039302498,36.298664685944146
40.78_-73.99,114,12.619817159926084,9.69901344244061,0.7400920869901567,16.161391463175757,32.139335215111686
40.72_-73.98,115,12.357486839725672,8.617542807747924,4.757320221324355,17.935206581778825,41.08227556386331
40.8_-73.96,113,11.32260419227899,7.364877615787563,3.129627044252319,16.161462326020185,30.273915061720494
40.79_-73.96,112,10.98243111137062,8.350747189950248,-0.33022476655275207,15.20906969304683,29.947198873827105
40.81_-73.96,115,10.51933050869916,7.918997449873842,1.610603205331852,13.929010013697729,27.93269449435379
40.71_-74.0,116,9.996299149672073,7.751524149465382,3.0513786525390936,13.600349834377925,27.355823799225988
40.71_-73.96,111,8.974541921115968,5.8747021063936415,3.4754866004509615,14.228345132604261,25.167500766025405
40.69_-73.99,113,8.272871002242491,5.30925018688373,1.338179125868844,11.820636666737261,25.485649894576966
40.77_-73.89,89,7.626148881086039,5.576386545571718,-0.04719369652115223,10.38165109071444,21.016437826028913
40.79_-73.94,115,7.598244253931906,6.120818449531512,1.8175185242782608,10.214413830507194,21.738125584169655
40.8_-73.94,118,7.47896692235296,5.32825404631371,0.6512097817979668,9.611145277008848,21.127875975304363
40.76_-73.95,112,7.433376119857782,5.659887514107652,0.04274926459598546,9.821302248727989,19.41581900812797
40.72_-74.02,105,7.37200974698668,5.44481808192441,-1.2102571756555147,10.108750731961827,20.75359264644047
40.72_-73.96,108,7.320106771803654,3.7533819311096503,2.437542299592938,12.78800034909686,19.061706127085944
40.81_-73.95,114,7.060074585064449,4.599239309316742,1.626769368103357,9.875174886783874,21.742297752962564
40.8_-73.95,117,6.91270329959383,4.65003740515921,1.9741637626188435,9.493603229774006,18.464815365075417
40.78_-73.94,108,6.880230022855845,5.3829050474873155,0.22945436034848307,9.44838980842443,18.88550935739203
40.68_-74.0,108,6.784036030073459,3.614120720957838,-0.6971059596465032,11.190718848179422,23.409663852409416
40.77_-74.0,87,6.645438681484215,2.726316440447249,-0.42787253544518483,13.713896493966985,22.17526792447259
40.81_-73.94,112,6.053881917754225,4.690144972854038,0.6808929514721768,8.234569843488938,18.061689436072395
40.7_-73.99,111,6.006456434008608,4.261510954858519,-0.1448041383272772,8.574085839323207,19.032278301466945
40.68_-73.98,111,5.824917558344696,3.1453995366165586,1.8239201838037933,10.96366830489368,17.26453464564318
40.71_-73.95,102,5.298101945503211,3.8178991631311447,1.124727227138345,7.8922259045443885,14.012916928641287
40.69_-73.98,111,5.090196232502091,3.7143789957394375,1.1756000561609865,6.994740189146728,16.576116906842515
40.69_-74.0,106,5.069609519199477,3.0434289994993504,-0.29075934872001263,8.34297420698568,16.409891522115217
40.75_-73.94,118,4.902562468648747,3.18866278231817,0.23960344669945263,6.8773312867433445,15.565698275043916
40.74_-73.92,117,4.829831776712005,3.4417376293328363,-0.39397670049916406,6.849053575041211,12.316083692190201
40.71_-73.99,110,4.374928374469595,3.0137551297722824,0.7202821618992217,5.878505630301115,12.213841538150215
40.73_-73.74,2,4.324512830255485,4.324512830255485,-4.324512830255485,5.8999232466752405,7.936606864062997
40.81_-73.97,110,4.285567809219084,2.8720441112199326,0.4115482443266479,5.856375843131279,11.437400983495035
40.76_-73.93,114,4.099936902958007,3.1981898890255627,-0.06662867209232584,5.583816944723204,12.078615228213627
40.77_-73.88,86,4.015000410648782,3.2276700441428883,0.19700138018141528,5.058884845591654,10.221499889666651
40.82_-73.96,112,3.970890290520777,2.9560299629590294,0.3209431217792282,5.273142953160068,10.234041236423733
40.68_-73.97,102,3.7419934102748185,2.0332660025372102,0.7736349058392306,5.754263961583058,13.538886045728974
40.77_-73.92,116,3.7278058254990887,2.607141885902523,0.3843592454249279,5.212527914639364,10.147725963882674
40.71_-73.94,89,3.7096649646199915,2.2284384064627685,0.7863877801305422,5.792151657231042,10.341569643921616
40.82_-73.95,113,3.702443514614272,3.139169665836871,0.6392005500653815,4.842907917292566,9.569065332860827
40.83_-73.95,113,3.6737516623008486,2.6857375690025185,0.03187188165014211,5.005100663294298,9.626782549228396
40.72_-73.95,103,3.6573658904250186,2.435288080888661,0.6219974821074972,5.306789182835638,13.541471186624642
40.76_-73.92,111,3.562797742281363,2.4745711654399756,0.45850857208351964,5.121794028876838,11.880426228643014
40.77_-73.93,110,3.390364159747552,2.1045658825359848,-0.19742324180127424,4.884423377781266,10.38370086108373
40.69_-73.97,104,3.366625468443677,2.471198619577199,0.5622327168329292,4.633666885463194,8.994045538880487
40.7_-73.93,66,3.2780339317894542,1.503834195073056,1.2415416118159226,6.075937349170655,9.734005638537234
40.82_-73.94,114,3.20339048207509,2.2445266166781606,0.4182327854849477,4.522261664812938,9.62758483783094
40.84_-73.94,113,3.0839403683355155,2.3390183371648963,0.11777274399168382,4.107959629356324,7.895091874810221
40.75_-73.89,114,2.99847361119993,2.151825142640033,0.22492405544002866,4.411206430465522,8.4614432911867
40.73_-73.97,105,2.8974918106452665,2.1775903156280627,0.32895841329591774,3.8961998659447667,8.484766027913752
40.73_-73.95,104,2.8963312469881566,2.020638911999557,0.2037709634399956,4.09304088519249,8.670294557272184
40.67_-73.99,111,2.891623650756791,2.1542904492882107,-0.11626947624438971,3.8605716352207815,7.8074235946358055
40.74_-73.95,105,2.8599326643408576,1.9683127267288327,0.6702093568420794,3.8149697671897185,7.699403540080602
40.68_-73.99,100,2.752590574264009,1.8990220305438685,0.32343387720047106,4.086572422019896,7.626059490655969
40.75_-73.96,100,2.750566359932055,1.5719005520827527,0.39783566756371835,4.094200324149635,10.142931193029506
40.74_-73.93,116,2.727903897337897,2.08430342874146,-0.012422111451950874,3.542664110031393,6.759714512989256
40.77_-73.91,109,2.706052314327343,2.27560861196468,0.03339884323046328,3.406552945711176,6.979447364330611
40.75_-73.95,110,2.614888661528704,2.3516897259723057,0.1983491206079102,3.23694036307265,5.922580988331628
40.75_-73.91,97,2.5705662208876903,1.9070387223101322,-0.2005392656071524,3.678979959313217,8.997636743289817
40.7_-74.02,96,2.568775903772997,1.740087519953048,0.11529288268799888,3.504034684777734,7.506911821601806
40.75_-73.9,104,2.541198418619946,1.9325530791338341,-0.11955504428260734,3.459581647374359,6.670511040794194
40.8_-73.93,113,2.3362623203485664,1.5708852578234023,0.2445580820137649,3.191112690264036,5.799365620723201
40.7_-73.94,72,2.2854414458690133,1.307174790289439,0.8965046456672324,3.4581708521444186,8.355128893696607
40.67_-73.98,92,2.223277226473933,1.5109354811318523,0.2343664883720745,2.9589086787197796,6.323066415886625
40.75_-73.92,100,2.1809462178852135,1.614391079380164,-0.0714713519500374,3.2207917844303053,7.670670393824737
40.71_-73.97,81,2.171752316991632,1.1997365668960003,0.4589265024776641,3.181297529850774,7.933527377713919
40.68_-73.96,90,2.169636475798015,1.1029546184243648,0.5470342474861133,3.372685966454047,6.724138681169517
40.75_-73.93,110,2.165248151335646,1.566215524278737,-0.22798637225099247,2.9585753548835023,6.097275692393526
40.71_-73.93,47,2.027983142276681,1.0604131895140232,0.13291968409030777,3.2794900652442975,7.508840398677654
40.76_-73.94,107,1.9915721054114413,1.5796893727367491,-0.1755842861358114,2.56698718886835,4.920560211858551
40.69_-73.96,91,1.9112018143500114,1.2773686438146479,0.27882069210714,2.6902759660660225,5.69447063033568
40.74_-73.9,92,1.8973106816687548,1.3578737762945594,-0.254005136454159,2.5489360192336514,5.496682209166781
40.85_-73.94,99,1.8087597235474384,1.2464432793131452,0.04061279010908722,2.669228627262439,6.105395012249111
40.68_-73.95,90,1.75119813229446,1.0780908924491048,0.21560897030692275,2.6407665891620575,4.940099481680985
40.7_-73.98,96,1.689947369172126,1.3223661140306766,-0.03572664794961544,2.1607049545155066,4.523780713308969
40.83_-73.94,110,1.684409787126832,1.4445319893845017,-0.48495078438133854,2.1536635894266865,4.417767755415028
40.71_-73.98,83,1.6638636097035024,1.0108182845959028,0.10161107737277987,2.371572996193844,4.972218214793292
40.73_-73.96,68,1.6620623437476143,1.002830708485606,0.4660440209203561,2.784747225510916,6.442064700885257
40.66_-73.79,78,1.6501102741496356,1.125746899594035,-0.01330750892819231,2.3870542449939043,5.657166651204674
40.75_-73.88,68,1.6277474420316786,0.9327415800750609,0.1868245849383952,2.5224271231065543,6.630855843354929
40.76_-73.88,85,1.5379925489829211,1.0486917925937642,-0.08493357493764583,2.1495983865730723,4.878738835343697
40.7_-74.0,61,1.4994040032827805,0.8893012379780196,-0.07111526507165405,2.5088013207978594,6.188889202854686
40.74_-73.88,81,1.4766505813241135,1.0579119700973316,0.09039237142693625,2.0265847484055604,3.7557162270612325
40.77_-73.9,73,1.4689250232855533,1.034066403472447,0.1187387437063594,2.145971726481496,4.2089142574041
40.67_-73.96,75,1.4386118688464875,0.9472460919797747,0.23989562163959657,2.0348256960127755,4.458612760057982
40.76_-73.53,23,1.4292157271564327,1.1538044409379118,-0.20774020840859003,2.2749102732776283,3.5609965201028895
40.74_-73.91,88,1.4107213026598686,0.8953888285244982,0.04021868087563301,2.19474096884027,5.3965424195215475
40.76_-73.91,97,1.401555027905307,1.1473786734623714,-0.09888987943609241,1.8320257836154377,3.528080745744737
40.72_-73.94,72,1.3695404911049767,0.8995227761990247,0.16415239588791572,1.9303213984105119,4.729021567633068
40.7_-73.92,43,1.3667636186211196,0.7340764437271874,0.29864743808250316,2.1361945251820265,5.314881988738138
40.65_-73.8,81,1.3596114346911155,1.0734088802771646,-0.42200591495210404,1.7919725144081253,3.265749558642945
40.74_-73.96,76,1.34903479349975,0.7567395572460325,0.2450136709641531,1.8276906967706166,3.913270372813119
40.73_-73.87,78,1.3439769355525872,0.9741748353250601,0.07514303747085223,1.730557666652842,3.2492810552756244
40.66_-73.96,86,1.326144954748984,0.8712507621457228,0.05568073681698745,1.7711104740920514,3.5145948821200346
40.67_-73.8,60,1.2940369186974332,0.8092153778782826,-0.13894498659288823,1.8147300833518034,3.406187177704631
40.72_-73.84,76,1.2634280086009617,1.0723812404822777,0.021732073115263918,1.5835484901604522,2.835288442824536
40.71_-73.92,32,1.259137161537895,0.9367421515325094,0.1239976921681139,1.7436467187508715,3.7692168551715737
40.69_-73.95,74,1.2459224508216458,0.9199967487623509,0.3960102709138221,1.6712368640207755,2.874813550042939
40.7_-73.96,60,1.2278216585930697,0.8039520753502996,0.22784313815991286,1.6676923102588692,3.387116516007596
40.82_-73.92,60,1.1683108700327507,0.6739994700891265,0.21373331291077674,1.6361054462309461,3.125370584455798
40.76_-73.89,68,1.1678899335681032,0.9482988063722567,-0.1008770773966824,1.4555882160542017,2.9776489020833647
40.78_-73.91,85,1.165261284837255,0.9790558531670359,-0.0518870907238884,1.5516150723576936,3.0695459791361994
40.81_-73.93,95,1.1447033235783668,1.1289223773785837,-0.3937719738477474,1.3575358990582125,2.403199871358227
40.7_-73.91,23,1.1221471094814532,0.6260961064692427,-0.002471178493764982,1.86917274061335,3.0939038746143748
40.73_-73.86,74,1.1005093824816454,0.7981914460114118,0.03308323416850606,1.442975053227754,2.65009212832939
40.78_-73.92,75,1.0860471917181287,0.7014864862508359,0.19462511420215137,1.56030217211428,3.2747541798425734
40.76_-73.84,4,1.0852566903892713,0.6962372781487819,0.1823761798385028,1.3834595210472764,2.290870411102332
40.66_-73.98,52,1.0778243275616444,0.7169773358236151,0.00177301421157109,1.4181358514025848,2.5004778606045654
40.7_-73.95,62,1.0733896634234463,0.7682178649651316,0.17667019253377364,1.4050107792741433,2.682564683552919
40.64_-73.97,71,1.0726442794971514,0.7018985602496708,-0.13235913970713512,1.4923618738206028,3.072258036666689
40.61_-74.0,10,1.039012392527742,0.9497568972499816,0.2937909038300025,1.1908551387161888,1.9945057286196315
40.69_-74.19,49,1.018387537651944,0.776175967894206,0.5175016411423722,1.3408591144133266,2.826745341595048
40.77_-73.94,71,1.0170434416777026,0.6816233483230749,0.13578208649584692,1.4071481911655146,3.247688063712461
40.66_-73.99,57,1.0124031412943195,0.7204325009277379,0.02526274298243302,1.2944656708773645,2.589596830830051
40.67_-73.77,3,0.9945495880512029,0.7128968842693779,-0.9945495880512029,1.1840616030701787,1.7665140914833735
40.67_-73.95,54,0.9927677559244545,0.7017485978153432,0.16219032994061375,1.424227703066541,2.4187201507242335
40.64_-73.8,51,0.9911670634066647,0.5832161251150243,-0.15459609427296225,1.5097753608833568,3.9351309120751017
40.72_-73.85,35,0.9903981314126079,0.6843889610724878,0.0040256008586299075,1.2968931454739772,2.527015865479438
40.67_-73.97,62,0.9749803378345931,0.55718572649785,0.07543469692838656,1.3789638543021847,3.0435344523804475
40.67_-74.0,71,0.967300211331483,0.7214908027186238,0.07195174185128302,1.2256028391151779,2.595271355710696
40.73_-73.88,24,0.9570573490153852,0.492237780035396,-0.13218773108221207,1.3869771450858326,2.642809133286325
40.87_-73.89,4,0.9442751644541345,0.8996732079134901,-0.12898897251750036,1.0877351183103152,1.5822859897367156
40.59_-73.96,1,0.94197789634169,0.94197789634169,-0.94197789634169,0.94197789634169,0.94197789634169
40.73_-73.93,24,0.9381890892747416,0.69126824545804,0.17901223697223234,1.2174182408946437,2.503358394870847
40.74_-73.89,64,0.8987428755624767,0.6047926358395319,0.03841849441817814,1.206975844927686,2.3389454104341674
40.68_-73.86,5,0.8984086903199081,1.0738218373245818,-0.09558975066317776,0.9876336232478388,1.3773300602395246
40.68_-73.94,59,0.8980981470329806,0.5383348083473147,-0.10424658433711757,1.2673619041477109,3.172236488141402
40.69_-73.92,37,0.8968286616144799,0.6282012264149555,-0.2105306503008389,1.3787916882544706,2.2485528553311775
40.68_-73.8,37,0.8966986453785343,0.5259538375582697,-0.060328367800085804,1.2422291707336908,2.7229797432560567
40.69_-73.94,45,0.8941587587917392,0.5501929276020059,0.1330639452053411,1.2040248949969166,2.426038817504468
40.87_-73.93,44,0.8810636823961105,0.591883774770393,-0.21857888838623712,1.3182890955744726,2.157815452367191
40.76_-74.01,21,0.8644419181426771,0.8664693027903727,-0.2102507304017618,0.9877995444363046,1.832494400567796
40.68_-74.02,2,0.8597821157567487,0.8597821157567487,0.19309442505928387,0.8811984700191703,1.0335670983101042
40.68_-74.01,51,0.8597557225676533,0.6343222350645195,0.04313286748888347,1.2170957379285041,2.8526161296061265
40.73_-74.04,15,0.8596612253772165,0.558646198512595,0.06712810336119147,1.3117431739396903,2.6071649997668325
40.72_-73.83,54,0.8562128544220727,0.5119425090717361,0.08152090282468746,1.148508231342283,2.6584555807058665
40.65_-73.81,49,0.854493593796035,0.6648948812161652,-0.1294696331599681,1.0239208810973066,1.9441373797580195
40.69_-73.81,44,0.8543251346702906,0.6345774748509762,-0.09701315573823786,1.0877564857635584,2.531247046238636
40.82_-73.93,59,0.8522448624916188,0.5905991588119535,-0.0826087702059402,1.3311649438718023,2.425854679595506
40.66_-74.0,49,0.8458045390150867,0.6616331085752876,-0.23476776109640302,1.1204719592746835,2.480845432446667
40.87_-73.92,56,0.8374863916859324,0.5458238688194135,-0.056319588524320674,1.1830655679293391,2.6361605357965106
40.83_-73.86,9,0.8318255652254467,0.7478817364785457,-0.21326349125201619,0.9229380571801787,1.400064201448827
40.67_-73.91,14,0.8305245972354326,0.5431047584440664,0.23806527858190707,1.050625162144296,1.9668709648328937
40.69_-73.93,51,0.8223134516264107,0.6232289928890222,0.19782499134535086,1.0993127661391344,2.3855414670377275
40.85_-73.93,73,0.8171940773438563,0.6393676306798091,-0.06678446497333962,1.0830676788634142,2.0593530950566175
40.71_-73.82,47,0.8020184500243384,0.5624941294667898,-0.0723736092461775,1.024191906530018,2.1164172437951887
40.69_-73.91,19,0.7874284622118521,0.4872758989249626,-0.28898324644044565,1.0107441196301818,2.1199406379094827
40.73_-73.94,39,0.7785932434514928,0.5316574190873986,-0.07838815309559062,1.1801349504739709,2.167947593958406
40.66_-73.81,52,0.7776264091366603,0.6111611983288686,0.014160595403563347,0.9507976272991363,1.8128910913672922
40.65_-73.96,57,0.7766056221270617,0.5694708110707811,-0.061009909633839614,1.0507640703644356,2.245741929591518
40.73_-73.85,38,0.7754332040356274,0.5057159626671892,-0.06412223267839987,1.1144452752058198,1.9913923585832694
40.7_-73.97,61,0.7737084085848835,0.48024808207656244,-0.07064361148348385,1.0865614914373534,2.686353606731644
40.76_-73.9,35,0.7732484354841884,0.5613143424343736,0.008735113120012957,0.9622110887582079,1.5230689471235455
40.84_-73.91,20,0.7625201370386053,0.5206904220298191,-0.2786479231336606,0.9544742064658187,1.6994128231382113
40.67_-73.78,7,0.7606646134338165,0.6723579614718804,-0.7606646134338165,0.8226083286599006,1.2881341900814154
40.71_-73.85,5,0.7403914208203928,0.7907042229460082,-0.7403914208203928,0.7568989977672933,0.915943645098267
